title,heading,content,tokens
Nutrition,Domesticated animal,"In domesticated animals, such as pets, livestock, and working animals, as well as other animals in captivity, nutrition is managed by humans through animal feed. Fodder and forage are provided to livestock. Specialized pet food has been manufactured since 1860, and subsequent research and development have addressed the nutritional needs of pets. Dog food and cat food in particular are heavily studied and typically include all essential nutrients for these animals. Cats are sensitive to some common nutrients, such as taurine, and require additional nutrients derived from meat. Large-breed puppies are susceptible to overnutrition, as small-breed dog food is more energy dense than they can absorb.",137
Nutrition,Plant,"Most plants obtain nutrients through inorganic substances absorbed from the soil or the atmosphere. Carbon, hydrogen, oxygen, nitrogen, and sulfur are essential nutrients that make up organic material in a plant and allow enzymic processes. These are absorbed ions in the soil, such as bicarbonate, nitrate, ammonium, and sulfate, or they are absorbed as gases, such as carbon dioxide, water, oxygen gas, and sulfur dioxide. Phosphorus, boron, and silicon are used for esterification. They are obtained through the soil as phosphates, boric acid, and silicic acid, respectively. Other nutrients used by plants are potassium, sodium, calcium, magnesium, manganese, chlorine, iron, copper, zinc, and molybdenum.Plants uptake essential elements from the soil through their roots and from the air (consisting of mainly nitrogen and oxygen) through their leaves. Nutrient uptake in the soil is achieved by cation exchange, wherein root hairs pump hydrogen ions (H+) into the soil through proton pumps. These hydrogen ions displace cations attached to negatively charged soil particles so that the cations are available for uptake by the root. In the leaves, stomata open to take in carbon dioxide and expel oxygen. Although nitrogen is plentiful in the Earth's atmosphere, very few plants can use this directly. Most plants, therefore, require nitrogen compounds to be present in the soil in which they grow. This is made possible by the fact that largely inert atmospheric nitrogen is changed in a nitrogen fixation process to biologically usable forms in the soil by bacteria.As these nutrients do not provide the plant with energy, they must obtain energy by other means. Green plants absorb energy from sunlight with chloroplasts and convert it to usable energy through photosynthesis.",371
Nutrition,Fungus,"Fungi are chemoheterotrophs that consume external matter for energy. Most fungi absorb matter through the root-like mycelium, which grows through the organism's source of nutrients and can extend indefinitely. The fungus excretes extracellular enzymes to break down surrounding matter and then absorbs the nutrients through the cell wall. Fungi can be parasitic, saprophytic, or symbiotic. Parasitic fungi attach and feed on living hosts, such as animals, plants, or other fungi. Saprophytic fungi feed on dead and decomposing organisms. Symbiotic fungi grow around other organisms and exchange nutrients with them.",133
Nutrition,Protist,"Protists include all eukaryotes that are not animals, plants, or fungi, resulting in great diversity between them. Algae are photosynthetic protists that can produce energy from light. Several types of protists use mycelium similar to those of fungi. Protozoa are heterotrophic protists, and different protozoa seek nutrients in different ways. Flagellate protozoa use a flagellum to assist in hunting for food, and some protozoa travel via infectious spores to act as parasites. Many protists are mixotrophic, having both phototrophic and heterotrophic characteristics. Mixotrophic protists will typically depend on one source of nutrients while using the other as a supplemental source or a temporary alternative when its primary source is unavailable.",164
Nutrition,Prokaryote,"Prokaryotes, including bacteria and archaea, vary greatly in how they obtain nutrients across nutritional groups. Prokaryotes can only transport soluble compounds across their cell envelopes, but they can break down chemical components around them. Some lithotrophic prokaryotes are extremophiles that can survive in nutrient-deprived environments by breaking down inorganic matter. Phototrophic prokaryotes, such as cyanobacteria and Chloroflexia, can engage in photosynthesis to obtain energy from sunlight. This is common among bacteria that form in mats atop geothermal springs. Phototrophic prokaryotes typically obtain carbon from assimilating carbon dioxide through the Calvin cycle.Some prokaryotes, such as Bdellovibrio and Ensifer, are predatory and feed on other single-celled organisms. Predatory prokaryotes seek out other organisms through chemotaxis or random collision, merge with the organism, degrade it, and absorb the released nutrients. Predatory strategies of prokaryotes include attaching to the outer surface of the organism and degrading it externally, entering the cytoplasm of the organism, or by entering the periplasmic space of the organism. Groups of predatory prokaryotes may forgo attachment by collectively producing hydrolytic enzymes.",269
Malnutrition,Summary,"Malnutrition occurs when an organism gets too few or too many nutrients, resulting in health problems. Specifically, it is ""a deficiency, excess, or imbalance of energy, protein and other nutrients"" which adversely affects the body's tissues and form. Malnutrition is not receiving the correct amount of nutrition. Malnutrition is increasing in children under the age of five due to providers who cannot afford or do not have access to adequate nutrition.Malnutrition is a category of diseases that includes undernutrition and overnutrition. Undernutrition is a lack of nutrients, which can result in stunted growth, wasting, and underweight. A surplus of nutrients causes overnutrition, which can result in obesity. In some developing countries, overnutrition in the form of obesity is beginning to appear within the same communities as undernutrition.Most clinical studies use the term 'malnutrition' to refer to undernutrition. However, the use of 'malnutrition' instead of 'undernutrition' makes it impossible to distinguish between undernutrition and overnutrition, a less acknowledged form of malnutrition. Accordingly, a 2019 report by The Lancet Commission suggested expanding the definition of malnutrition to include ""all its forms, including obesity, undernutrition, and other dietary risks."" The World Health Organization and The Lancet Commission have also identified ""[t]he double burden of malnutrition,"" which occurs from ""the coexistence of overnutrition (overweight and obesity) alongside undernutrition (stunted growth and wasting).""",295
Malnutrition,Prevalence,"It is estimated that nearly one in three persons globally has at least one form of malnutrition: wasting, stunting, vitamin or mineral deficiency, overweight, obesity, or diet-related noncommunicable diseases. Undernutrition is more common in developing countries. Stunting is more prevalent in urban slums than in rural areas. Studies on malnutrition have the population categorised into different groups including infants, under-five children, children, adolescents, pregnant women, adults and the elderly population. The use of different growth references in different studies leads to variances in the undernutrition prevalence reported in different studies. Some of the growth references used in studies include the
National Center for Health Statistics (NCHS) growth charts, WHO reference 2007, Centers for Disease Control and Prevention (CDC) growth charts, National Health and Nutrition Examination Survey (NHANES), WHO reference 1995, Obesity Task Force (IOTF) criteria and Indian Academy of Pediatrics (IAP) growth charts.",198
Malnutrition,In children,"The prevalence of undernutrition is highest among children under five. In 2020, 149 million children under five years old were stunted, 45 million were wasted, and 38.9 million were overweight or obese. The following year, an estimated 45% of deaths in children were linked to undernutrition. As of 2020, the prevalence of wasting among children under five in South Asia was reported to be 16% moderately or severely wasted. As of 2022, UNICEF reported this prevalence as having slightly improved, but still being at at 14.8%. In Asia, India has one of the highest burden of wasting with over 20% wasted children. However, the burden of undernutrition among under-five children in African countries is much higher. A pooled analysis of the prevalence of chronic undernutrition among under-five children in East Africa was identified to be 33.3%. This prevalence of undernutrition among under-five children ranged from 21.9% in Kenya to 53% in Burundi. In Tanzania, the prevalence of stunting, among children under five varied from 41% in lowland and 64.5% in highland areas. Undernutrition by underweight and wasting was 11.5% and 2.5% in lowland and 22.% and 1.4% in the highland areas of Tanzania respectively. In South Sudan, the prevalence of undernutrition explained by stunting, underweight and wasting in under-five children were 23.8%, 4.8% and 2.3% respectively.Vitamin A deficiency affects one third of children under age 5 around the world, leading to 670,000 deaths and 250,000–500,000 cases of blindness.",343
Malnutrition,In adults,"As of June 2021, 1.9 billion adults were overweight or obese, and 462 million adults were underweight. Globally, two billion people had iodine deficiency in 2017. In 2020, 900 million women and children had anemia, which is often caused by iron deficiency.Certain groups have higher rates of undernutrition, including elderly people and women (in particular while pregnant or breastfeeding children under five years of age). Undernutrition is an increasing health problem in people aged over 65 years, even in developed countries, especially among nursing home residents and in acute care hospitals. In the elderly, undernutrition is more commonly due to physical, psychological, and social factors, not a lack of food. Age-related reduced dietary intake due to chewing and swallowing problems, sensory decline, depression, imbalanced gut microbiome, poverty and loneliness are major contributors to undernutrition in the elderly population.",179
Malnutrition,Recent increase,"There has been a global increase in food insecurity and hunger over the past decade. In 2015, 795 million people (about one in ten people on earth) had undernutrition. In 2020, one in nine people in the world—or 820 million people worldwide—was hungry. In 2022, 1.3 billion people worldwide were estimated to be food insecure.These increases are partially related to the ongoing COVID-19 pandemic, which continues to highlight the weaknesses of current food and health systems. It has contributed to food insecurity, increasing hunger worldwide; meanwhile, lower physical activity during lockdowns has contributed to increases in overweight and obesity. In 2020, experts estimated that by the end of the year, the pandemic could double the number of people at risk of suffering acute hunger. Similarly, experts estimate that the prevalence of moderate and severe wasting could increase by 14% due to COVID-19; coupled with reductions in nutrition and health services coverage, this could result in over 128,000 additional deaths among children under 5 in 2020 alone. Although COVID-19 is less severe in children than in adults, the risk of severe disease increases with undernutrition.Other major causes of hunger include manmade conflicts, climate changes, and economic downturns.",254
Malnutrition,Undernutrition,"Undernutrition can occur either due to protein-energy wasting or as a result of micronutrient deficiencies. It adversely affects physical and mental functioning, and causes changes in body composition and body cell mass. Undernutrition is a major health problem, causing the highest mortality rate in children, particularly in those under 5 years, and is responsible for long-lasting physiologic effects. It is a barrier to the complete physical and mental development of children.Undernutrition can manifest as stunting, wasting, and underweight. If undernutrition occurs during pregnancy, or before two years of age, it may result in permanent problems with physical and mental development. Extreme undernutrition can cause starvation, chronic hunger, Severe Acute Malnutrition (SAM), and/or Moderate Acute Malnutrition (MAM).
The signs and symptoms of micronutrient deficiencies depend on which micronutrient is lacking. However, undernourished people are often thin and short, with very poor energy levels; and swelling in the legs and abdomen is also common. People who are undernourished often get infections and frequently feel cold.",229
Malnutrition,Micronutrient malnutrition,"Micronutrient malnutrition results from inadequate intake of vitamins and minerals. Worldwide, deficiencies in iodine, Vitamin A, and iron are the most common. Children and pregnant women in low-income countries are at especially high risk for micronutrient deficiencies.Anemia is most commonly caused by iron deficiency, but can also result from other micronutrient deficiencies and diseases. This condition can have major health consequences.It is possible to have overnutrition simultaneously with micronutrient deficiencies; this condition is termed the double burden of malnutrition.",111
Malnutrition,Protein-energy malnutrition,"'Undernutrition' sometimes refers specifically to protein–energy malnutrition (PEM). This condition involves both micronutrient deficiencies and an imbalance of protein intake and energy expenditure. It differs from calorie restriction in that calorie restriction may not result in negative health effects. Hypoalimentation (underfeeding) is one cause of undernutrition.Two forms of PEM are kwashiorkor and marasmus; both commonly coexist.
Kwashiorkor is primarily caused by inadequate protein intake. Its symptoms include edema, wasting, liver enlargement, hypoalbuminaemia, and steatosis; the condition may also cause depigmentation of skin and hair. The disorder is further identified by a characteristic swelling of the belly, and extremities which disguises the patient's undernourished condition. 'Kwashiorkor' means 'displaced child' and is derived from the Ga language of coastal Ghana in West Africa. It means ""the sickness the baby gets when the next baby is born,"" as it often occurs when the older child is deprived of breastfeeding and weaned to a diet composed largely of carbohydrates.Marasmus (meaning 'to waste away') can result from a sustained diet that is deficient in both protein and energy. This causes their metabolism to adapt in order to prolong survival. The primary symptoms are severe wasting, leaving little or no edema; minimal subcutaneous fat; and abnormal serum albumin levels. It is traditionally seen in cases of famine, significant food restriction, or severe anorexia. Conditions are characterized by extreme wasting of the muscles and a gaunt expression.",333
Malnutrition,Overnutrition,"Excessive consumption of energy-dense foods and drinks and limited physical activity causes overnutrition. It causes overweight, defined as a body mass index (BMI) of 25 or more, and can lead to obesity (a BMI of 30 or more). Obesity has become a major health issue worldwide. Overnutrition is linked to chronic non-communicable diseases like diabetes, certain cancers, and cardiovascular diseases. Hence identifying and addressing the immediate risk factors has become a major health priority. The recent evidence on the impact of diet-induced obesity in fathers and mothers around the time of conception is identified to negatively program the health outcomes of multiple generations.",133
Malnutrition,Definition by Gomez & Galvan,"In 1956, Gómez and Galvan studied factors associated with death in a group of undernourished children in a hospital in Mexico City, Mexico. They defined three categories of malnutrition: first, second, and third degree. The degree of malnutrition is calculated based on a child's body size compared to the median weight for their age. The risk of death increases with increasing degrees of malnutrition.An adaptation of Gomez's original classification is still used today. While it provides a way to compare malnutrition within and between populations, this classification system has been criticized for being ""arbitrary"" and for not considering overweight as a form of malnutrition. Also, height alone may not be the best indicator of malnutrition; children who are born prematurely may be considered short for their age even if they have good nutrition.",168
Malnutrition,Definition by Waterlow,"In the 1970s, John Conrad Waterlow established a new classification system for malnutrition. Instead of using just weight for age measurements, Waterlow's system combines weight-for-height (indicating acute episodes of malnutrition) with height-for-age to show the stunting that results from chronic malnutrition. One advantage of the Waterlow classification is that weight for height can be calculated even if a child's age is unknown.
The World Health Organization frequently uses these classifications of malnutrition, with some modifications.",106
Malnutrition,Effects,"Malnutrition weakens every part of the immune system. Protein and energy malnutrition increases susceptibility to infection; so do deficiencies of specific micronutrients (including iron, zinc, and vitamins). In communities or areas that lack access to safe drinking water, these additional health risks present a critical problem.Malnutrition plays a major role in the onset of active tuberculosis. It also raises the risk of HIV transmission from mother to child, and increases replication of the virus. Malnutrition can cause vitamin-deficiency-related diseases like scurvy and rickets. As malnutrition worsens, those affected have less energy and experience impairment in brain functions. This can make it difficult (or impossible) for them to perform the tasks needed to acquire food, earn an income, or gain an education.Malnutrition can also cause acute problems, like hypoglycemia (low blood sugar). This condition can cause lethargy, limpness, seizures, and loss of consciousness. Children are particularly at risk and can become hypoglycemic after 4 to 6 hours without food. Dehydration can also occur in malnourished people, and can be life-threatening, especially in babies and small children.",242
Malnutrition,Signs,There are many different signs of dehydration in malnourished people. These can include sunken eyes; a very dry mouth; decreased urine output and/or dark urine; increased heart rate with decreasing blood pressure; and altered mental status.,51
Malnutrition,Cognitive development,"Protein-calorie malnutrition can cause cognitive impairments. This most commonly occurs in people who were malnourished during a ""critical period ... from the final third of gestation to the first 2 years of life"". For example, in children under two years of age, iron deficiency anemia is likely to affect brain function acutely, and probably also chronically. Similarly, folate deficiency has been linked to neural tube defects.Iodine deficiency is ""the most common preventable cause of mental impairment worldwide."" ""Even moderate [iodine] deficiency, especially in pregnant women and infants, lowers intelligence by 10 to 15 I.Q. points, shaving incalculable potential off a nation's development."" Among those affected, very few people experience the most visible and severe effects: disabling goiters, cretinism and dwarfism. These effects occur most commonly in mountain villages. However, 16 percent of the world's people have at least mild goiter (a swollen thyroid gland in the neck).""",205
Malnutrition,Social and political,"Social conditions have a significant influence on the health of people. The social determinants of undernutrition mainly include poor education, poverty, disease burden and lack of women's empowerment. Identifying and addressing these determinants can eliminate undernutrition in the long term. Identification of the social conditions that causes malnutrition in children under five has received significant research attention as it is a major public health problem.Undernutrition most commonly results from a lack of access to high-quality, nutritious food. The household income is a socio-economic variable that influences the access to nutritious food and the probability of under and overnutrition in a community. In the study by Ghattas et al. (2020), the probability of overnutrition is significantly higher in higher-income families than in disadvantaged families. High food prices is a major factor preventing low income households from getting nutritious food  For example, Khan and Kraemer (2009) found that in Bangladesh, low socioeconomic status was associated with chronic malnutrition since it inhibited purchase of nutritious foods (like milk, meat, poultry, and fruits). Food shortages may also contribute to malnutritions in countries which lack technology. However, in the developing world, eighty percent of malnourished children live in countries that produce food surpluses, according to estimates from the Food and Agriculture Organization (FAO). The economist Amartya Sen observes that, in recent decades, famine has always been a problem of food distribution, purchasing power, and/or poverty, since there has always been enough food for everyone in the world.There are also sociopolitical causes of malnutrition. For example, the population of a community might be at increased risk for malnutrition if government is poor and the area lacks health-related services. On a smaller scale, certain households or individuals may be at an even higher risk due to differences in income levels, access to land, or levels of education. Community plays a crucial role in addressing the social causes of malnutrition. For example, communities with high social support and knowledge sharing about social protection programs can enable better public service demands. Better public service demands and social protection programs minimise the risk of malnutrition in these communities.
It is argued that commodity speculators are increasing the cost of food. As the real-estate bubble in the United States was collapsing, it is said that trillions of dollars moved to invest in food and primary commodities, causing the 2007–2008 food price crisis.The use of biofuels as a replacement for traditional fuels raises the price of food. The United Nations special rapporteur on the right to food, Jean Ziegler proposes that agricultural waste, such as corn cobs and banana leaves, should be used as fuel instead of crops.In some developing countries, overnutrition (in the form of obesity) is beginning to appear in the same communities where malnutrition occurs. Overnutrition increases with urbanisation, food commercialisation and technological developments and increases physical inactivity. Variations in the health status of individuals in the same society are associated with the societal structure and an individual's socioeconomic status which leads to income inequality, racism, educational differences and lack of opportunities.",631
Malnutrition,Diseases & conditions,"Infectious diseases which increase nutrient requirements, such as gastroenteritis, pneumonia, malaria, and measles, can cause malnutrition. So can some chronic illnesses, especially HIV/AIDS.Malnutrition can also result from abnormal nutrient loss due to diarrhea or chronic small bowel illnesses, like Crohn's disease or untreated coeliac disease. ""Secondary malnutrition"" can result from increased energy expenditure.In infants, a lack of breastfeeding may contribute to undernourishment. Anorexia nervosa and bariatric surgery can also cause malnutrition.",112
Malnutrition,Agricultural productivity,"Local food shortages can be caused by a lack of arable land, adverse weather, and/or poorer farming skills (like inadequate crop rotation). They can also occur in areas which lack the technology or resources needed for the higher yields found in modern agriculture. These resources include fertilizers, pesticides, irrigation, machinery, and storage facilities. As a result of widespread poverty, farmers and governments cannot provide enough of these resources to improve local yields.Additionally, the World Bank and some wealthy donor countries have pressured developing countries to use free market policies. Even as the United States and Europe extensively subsidized their own farmers, they urged developing countries to cut or eliminate subsidized agricultural inputs, like fertilizer. Without subsidies, few (if any) farmers in developing countries can afford fertilizer at market prices. This leads to low agricultural production, low wages, and high, unaffordable food prices. Fertilizer is also increasingly unavailable because Western environmental groups have fought to end its use due to environmental concerns. The Green Revolution pioneers Norman Borlaug and Keith Rosenberg cited as the obstacle to feeding Africa by .",219
Malnutrition,Future threats,"In the future, variety of factors could potentially disrupt global food supply and cause widespread malnutrition.
Global warming is of importance to food security. Almost all malnourished people (95%) live in the tropics and subtropics, where the climate is relatively stable. According to the latest Intergovernmental Panel on Climate Change reports, temperature increases in these regions are ""very likely."" Even small changes in temperatures can make extreme weather conditions occur more frequently. Extreme weather events, like drought, have a major impact on agricultural production, and hence nutrition. For example, the 1998–2001 Central Asian drought killed about 80 percent of livestock in Iran and caused a 50% reduction in wheat and barley crops there. Other central Asian nations experienced similar losses. An increase in extreme weather such as drought in regions such as Sub-Saharan Africa would have even greater consequences in terms of malnutrition. Even without an increase of extreme weather events, a simple increase in temperature reduces the productivity of many crop species, and decreases food security in these regions.Another threat is colony collapse disorder, a phenomenon where bees die in large numbers. Since many agricultural crops worldwide are pollinated by bees, colony collapse disorder represents a threat to the global food supply.",247
Malnutrition,Prevention,"Reducing malnutrition is key part of the United Nations' Sustainable Development Goal 2 (SDG2), ""Zero Hunger,"" which aims to reduce malnutrition, undernutrition, and stunted child growth. Managing severe acute undernutrition in a community setting has received significant research attention.",57
